codARV,codUT,codUCA,codLIN,X,Y,dia,nome,sp,dap,altura,notaFUST,notaCIPO,clasDAP,areaBAS,volume,destino
40100001,1,1,1,5.0,13.0,03/03/2010,taxi,Sclerolobium paniculatum,70.8,15,1,1,070-080,1.57,4.13,REM
40100002,1,1,1,23.0,11.0,03/03/2010,caucho,Castilla ulei,50.1,12,2,2,050-060,0.79,1.66,PS
40100003,1,1,1,43.0,4.0,03/03/2010,ucuuba,Virola surinamensis,43.5,17,1,2,040-050,0.59,1.77,CF
40100004,1,1,1,47.0,7.0,03/03/2010,pamã,Pseudolmedia laevis,52.8,10,1,2,050-060,0.88,1.53,RAR
40100005,1,1,1,40.0,12.0,03/03/2010,taxi,Sclerolobium paniculatum,41.1,15,2,1,040-050,0.53,1.39,CF
40100006,1,1,1,14.0,21.0,03/03/2010,roxinho,Peltogyne excelsa,46.1,12,1,2,040-050,0.67,1.40,CF
40100007,1,1,1,37.0,25.0,03/03/2010,taxi,Sclerolobium paniculatum,50.2,15,1,2,050-060,0.79,2.08,REM
40100008,1,1,1,22.0,25.0,03/03/2010,castanheira,Bertholetia excelsa,91.7,18,1,2,090-100,2.64,8.32,CPL
40100009,1,1,1,15.0,40.0,03/03/2010,roxinho,Peltogyne excelsa,57.0,10,2,1,050-060,1.02,1.79,REM
40100010,1,1,1,31.0,36.0,03/03/2010,angelim saia,Parkia pendula,73.0,12,2,2,070-080,1.67,3.52,REM
40100011,1,1,1,18.0,57.0,03/03/2010,angelim amargoso,Vataireopsis speciosa,60.7,12,1,2,060-070,1.16,2.43,PAB
40100012,1,1,1,28.0,52.0,03/03/2010,roxinho,Peltogyne excelsa,40.9,12,1,2,040-050,0.53,1.10,CF
40100013,1,1,1,32.0,63.0,03/03/2010,ucuuba d`água,Iryanthera ulei,77.4,18,2,1,070-080,1.88,5.93,REM
40100014,1,1,1,17.0,64.0,03/03/2010,abiurana,Pouteria pachycarpa,41.8,14,2,2,040-050,0.55,1.34,CF
40100015,1,1,1,27.0,65.0,03/03/2010,abiu,Pouteria caimito,56.1,16,1,2,050-060,0.99,2.77,REM
40100016,1,1,1,24.0,66.0,03/03/2010,joão mole,Neea oppositifolia,60.0,6,3,2,060-070,1.13,1.19,REM
40100017,1,1,1,46.0,62.0,03/03/2010,pamã,Pseudolmedia laevis,42.2,10,1,2,040-050,0.56,0.98,RAR
40100018,1,1,1,25.0,72.0,03/03/2010,guarantã,Esembeckia leiocarpa,74.0,20,1,1,070-080,1.72,6.02,RAR
40100019,1,1,1,20.0,77.0,03/03/2010,roxinho,Peltogyne excelsa,61.4,12,1,1,060-070,1.18,2.49,PAB
40100020,1,1,1,26.0,78.0,03/03/2010,orelha de macaco,Enterolobium schomburgkii,69.3,12,1,1,060-070,1.51,3.17,PAB
40100021,1,1,1,1.0,81.0,03/03/2010,catuaba,Thyrsodium schomburgkianum,98.3,12,2,1,090-100,3.04,6.37,PS
40100022,1,1,1,10.0,81.0,03/03/2010,joão mole,Neea oppositifolia,46.5,5,3,2,040-050,0.68,0.59,CF
40100023,1,1,1,37.0,94.0,03/03/2010,guarantã,Esembeckia leiocarpa,67.1,13,2,2,060-070,1.41,3.22,RAR
40100024,1,1,1,39.0,107.0,03/03/2010,cupiuba,Goupia glabra,85.5,14,2,2,080-090,2.30,5.63,REM
40100025,1,1,1,37.0,121.0,03/03/2010,cupiuba,Goupia glabra,118.5,10,1,1,110-120,4.41,7.72,PAB
40100027,1,1,1,16.0,125.0,03/03/2010,caucho,Castilla ulei,43.9,10,2,2,040-050,0.61,1.06,CF
40100028,1,1,1,29.0,145.0,03/03/2010,taxi,Sclerolobium paniculatum,51.0,15,1,2,050-060,0.82,2.14,REM
40100029,1,1,1,2.0,132.0,03/03/2010,ucuuba,Virola surinamensis,41.0,20,2,1,040-050,0.53,1.85,CF
40100030,1,1,1,8.0,144.0,03/03/2010,ingá branco,Inga heterophylla,41.1,8,2,2,040-050,0.53,0.74,RAR
40100032,1,1,1,5.0,184.0,03/03/2010,tauari carvão,Couratari oblongifolia,59.4,15,1,2,050-060,1.11,2.91,REM
40100033,1,1,1,15.0,189.0,03/03/2010,joão mole,Neea oppositifolia,90.0,12,1,1,090-100,2.54,5.34,REM
40100034,1,1,1,20.0,179.0,03/03/2010,amapá,Brosimum guianense,41.0,15,2,2,040-050,0.53,1.39,CF
40100035,1,1,1,22.0,190.0,03/03/2010,ucuuba,Virola surinamensis,47.7,21,2,1,040-050,0.71,2.63,CF
40100036,1,1,1,20.0,195.0,03/03/2010,roxinho,Peltogyne excelsa,48.8,22,2,1,040-050,0.75,2.88,CF
40100038,1,1,1,24.0,210.0,03/03/2010,tauari carvão,Couratari oblongifolia,107.3,15,1,2,100-110,3.62,9.49,PAB
40100039,1,1,1,1.0,215.0,03/03/2010,timborana,Pseudopiptadenia suaveolens,70.0,12,3,1,070-080,1.54,3.23,REM
40100040,1,1,1,17.0,232.0,03/03/2010,maçaranduba,Manilkara huberi,42.7,12,1,2,040-050,0.57,1.20,CF
40100041,1,1,1,22.0,225.0,03/03/2010,ucuuba,Virola surinamensis,49.0,16,1,1,040-050,0.75,2.11,CF
40100042,1,1,1,19.0,248.0,03/03/2010,castanheira,Bertholetia excelsa,146.2,20,1,1,140-150,6.71,23.50,CPL
40100043,1,1,2,79.0,249.0,03/03/2010,amapá,Brosimum guianense,101.2,18,1,1,100-110,3.22,10.13,PAB
40100044,1,1,2,68.0,240.0,03/03/2010,breu,Protium robustum,54.0,6,2,2,050-060,0.92,0.96,REM
40100045,1,1,2,62.0,238.0,03/03/2010,taxi,Sclerolobium paniculatum,42.8,16,2,1,040-050,0.58,1.61,CF
40100046,1,1,2,78.0,250.0,03/03/2010,jutaí pororoca,Dialium guianense,51.1,12,2,1,050-060,0.82,1.72,REM
40100047,1,1,2,50.0,238.0,03/03/2010,molongó,Malouetia tamaquarina,42.4,18,2,2,040-050,0.56,1.78,CF
40100049,1,1,2,76.0,232.0,03/03/2010,pamã,Pseudolmedia laevis,43.1,10,2,2,040-050,0.58,1.02,RAR
40100050,1,1,2,85.0,212.0,03/03/2010,abiurana,Pouteria pachycarpa,43.3,10,1,2,040-050,0.59,1.03,CF
40100051,1,1,2,68.0,225.0,03/03/2010,breu,Protium robustum,48.5,7,3,2,040-050,0.74,0.91,CF
40100052,1,1,2,55.0,213.0,03/03/2010,angelim,Dinizia excelsa,46.7,15,2,1,040-050,0.69,1.80,CF
40100053,1,1,2,54.0,213.0,03/03/2010,breu,Protium robustum,40.6,8,2,1,040-050,0.52,0.72,CF
40100054,1,1,2,60.0,213.0,03/03/2010,timborana,Pseudopiptadenia suaveolens,43.0,12,3,1,040-050,0.58,1.22,CF
40100055,1,1,2,72.0,211.0,03/03/2010,açoita cavalo,Lueheopsis duckeana,48.8,12,1,2,040-050,0.75,1.57,RAR
40100056,1,1,2,59.0,194.0,03/03/2010,angelim saia,Parkia pendula,75.1,12,1,2,070-080,1.77,3.72,REM
40100057,1,1,2,63.0,197.0,03/03/2010,freijó branco,Cordia sellowiana,46.6,15,2,2,040-050,0.68,1.79,RAR
40100058,1,1,2,66.0,199.0,03/03/2010,pamã,Pseudolmedia laevis,44.3,10,1,2,040-050,0.62,1.08,RAR
40100059,1,1,2,73.0,203.0,03/03/2010,amapá,Brosimum guianense,56.0,12,1,1,050-060,0.99,2.07,PAB
40100060,1,1,2,79.0,178.0,03/03/2010,garapeira,Apuleia molaris,110.0,20,2,2,110-120,3.80,13.30,PAB
40100061,1,1,2,60.0,175.0,03/03/2010,abiurana,Pouteria pachycarpa,56.1,11,1,2,050-060,0.99,1.90,PAB
40100062,1,1,2,67.0,167.0,03/03/2010,amapá,Brosimum guianense,50.7,12,1,2,050-060,0.81,1.70,PAB
40100063,1,1,2,58.0,147.0,03/03/2010,amapá,Brosimum guianense,78.8,15,1,1,070-080,1.95,5.12,PAB
40100064,1,1,2,60.0,144.0,03/03/2010,castanheira,Bertholetia excelsa,149.0,17,1,2,140-150,6.97,20.75,CPL
40100065,1,1,2,65.0,137.0,03/03/2010,angelim saia,Parkia pendula,49.1,11,1,2,040-050,0.76,1.46,CF
40100066,1,1,2,100.0,139.0,03/03/2010,bolacheira,Macrolobium suaveolens,59.9,15,1,1,050-060,1.13,2.96,RAR
40100067,1,1,2,79.0,134.0,03/03/2010,roxinho,Peltogyne excelsa,52.0,20,2,2,050-060,0.85,2.97,PS
40100068,1,1,2,85.0,121.0,03/03/2010,piquiarana,Caryocar microglabrum,55.4,12,2,1,050-060,0.96,2.02,REM
40100070,1,1,2,78.0,111.0,03/03/2010,maracatiara,Astronium lecointei,52.8,25,2,1,050-060,0.88,3.83,REM
40100071,1,1,2,62.0,100.0,03/03/2010,roxinho,Peltogyne excelsa,40.8,12,1,2,040-050,0.52,1.10,CF
40100072,1,1,2,89.0,106.0,03/03/2010,tauari carvão,Couratari oblongifolia,129.0,20,2,1,120-130,5.23,18.30,PS
40100073,1,1,2,88.0,100.0,03/03/2010,taxi,Sclerolobium paniculatum,58.9,18,1,1,050-060,1.09,3.43,REM
