date,plot,species,si.offset.e,si.offset.n,tree.easting,tree.northing,sensor.est.e,sensor.est.n,dbh,height,cbh,rad.in,rad.out,distance,bearing,east.center,north.center,tag
2013-09-20,PLT0020,acerru,516.2709961,11.33110046,732109.171,4713233.231,732110.079,4713235.013,20.2,22.2,8.5,1.88,2.49,2,207,0.907980999,1.782013048,260057
2013-09-20,PLT0020,acerru,512.6879883,10.79080009,732105.588,4713232.691,732109.7133,4713234.793,27.4,20.4,6.8,1.8,2.89,4.63,243,4.125360207,2.101976014,260058
2013-09-20,PLT0020,acerru,512.5449829,12.1196003,732105.445,4713234.02,732109.9982,4713234.741,25.8,23.2,8,2.32,3.9,4.61,261,4.55324325,0.721162884,260060
2013-09-20,PLT0020,betual,515.6279907,15.3355999,732108.528,4713237.236,732109.2336,4713234.775,12,15.9,1.8,2.84,4.39,2.56,344,0.705631631,-2.460829942,260055
2013-09-20,PLT0020,acerru,516.84198,16.54330063,732109.742,4713238.443,732109.5139,4713235.181,30.8,15.7,10.2,4.18,3.3,3.27,4,-0.228103669,-3.262034444,260054
2013-09-20,PLT0020,querru,520.1589966,19.59860039,732113.059,4713241.499,732109.5004,4713234.806,42.5,25.9,16,5.94,8.66,7.58,28,-3.558594446,-6.692742754,270026
2013-09-20,PLT0020,querru,520.1669922,15.23050022,732113.067,4713237.131,732107.8576,4713234.361,37,26.3,11.6,5.15,2.71,5.9,62,-5.209390798,-2.76988222,270021
2013-09-20,PLT0020,querru,520.9180298,14.89729977,732113.818,4713236.797,732107.7542,4713234.347,39.5,20.1,14.3,5.05,5.9,6.54,68,-6.063782409,-2.449927121,270019
2013-09-20,PLT0020,acerru,518.8140259,11.61530018,732111.714,4713233.515,732109.5403,4713234.77,20.4,22.4,5.3,2.97,5.08,2.51,120,-2.173723763,1.255,260056
2013-09-20,PLT0020,acerru,517.6409912,8.84910965,732110.541,4713230.749,732109.6074,4713234.793,32.8,33.8,13.1,4.16,3.55,4.15,167,-0.933546876,4.043635769,260066
2013-09-20,PLT0050,acerru,628.0839844,25.03689957,732220.984,4713246.937,732223.493,4713247.85,15.9,12.4,8.4,3.31,2.59,2.67,250,2.508979297,0.913193783,320176
2013-09-20,PLT0050,querru,620.2979736,30.34770012,732213.198,4713252.248,732223.2143,4713249.376,52.3,23.4,10.9,10.26,6.76,10.42,286,10.01634687,-2.872141248,320215
2013-09-20,PLT0050,querru,NA,NA,731592.9,4713221.9,731586.6576,4713218.581,42,24.7,8.3,4.48,9.28,7.07,62,-6.242439482,-3.319163949,320260
2013-09-20,PLT0050,querru,629.2490234,19.64019966,732222.149,4713241.54,732225.4027,4713246.747,45,17.5,10.7,10.77,3.42,6.14,212,3.253704282,5.20701531,320069
2013-09-20,PLT0050,querru,625.0239868,19.45050049,732217.924,4713241.351,732224.4042,4713247.185,43,21,13.6,4.59,4.19,8.72,228,6.480222878,5.834818887,320064
2013-09-20,PLT0041,acerru,644.2379761,21.13470078,732237.138,4713243.035,732237.6663,4713242.73,4.6,4.6,1.7,1.55,1.09,0.61,300,0.528275496,-0.305,330166
2013-09-20,PLT0041,acerru,646.5250244,23.36039925,732239.425,4713245.26,732238.0072,4713242.594,16,12,4.4,3.16,2.94,3.02,28,-1.41780412,-2.66650173,330165
2013-09-20,PLT0041,querru,651.2160034,29.15690041,732244.116,4713251.057,732238.9493,4713242.788,58.4,24.1,11.7,6.46,8.93,9.75,32,-5.166712826,-8.268468938,330228
2013-09-20,PLT0041,querru,638.4609985,17.73509979,732231.361,4713239.635,732239.2235,4713242.812,47.3,25.6,13.6,10.48,3.41,8.48,248,7.862519087,3.176663912,320101
2013-09-20,PLT0041,querru,642.2949829,22.48830032,732235.195,4713244.388,732239.3325,4713243.509,37,17.4,11.3,6.84,2.07,4.23,282,4.137564351,-0.879466452,330145
2013-09-20,PLT0043,querru,602.5349731,22.92259979,732195.435,4713244.823,732195.1904,4713247.15,47.6,27.1,12,2.5,8.55,2.34,174,-0.244596604,2.327181235,310173
2013-09-20,PLT0043,querru,599.2490234,23.92970085,732192.149,4713245.83,732194.9546,4713246.741,65.8,30.5,11.7,9.5,7.73,2.95,252,2.805616723,0.911600133,300172
2013-09-20,PLT0043,Fagugr,599.0079956,22.8390007,732191.908,4713244.739,732195.9598,4713246.376,20,13.2,0.8,5.3,5.73,4.37,248,4.051793444,1.637030813,300173
2013-09-20,PLT0043,pinust,605.9920044,30.58309937,732198.892,4713252.483,732196.0525,4713245.455,62,23.3,13.8,4.33,5.61,7.58,22,-2.839517978,-7.028053618,310228
2013-09-20,PLT0043,acerru,NA,NA,731592.9,4713221.9,731590.6614,4713221.978,15.2,4.3,1.5,1.42,0,2.24,92,-2.238635453,0.078174873,NA
2013-09-20,PLT0043,querru,608.4450073,20.23900032,732201.345,4713242.139,732195.5104,4713245.785,45.5,24.4,13.5,2.71,2.43,6.88,122,-5.834570902,3.645844538,310190
2013-09-20,PLT0043,querru,608.4840088,19.7105999,732201.384,4713241.611,732195.0413,4713246.219,42.7,22.2,11.8,5.48,10.83,7.84,126,-6.342693236,4.608236378,310059
2013-09-20,PLT0032,pinure,562.7880249,162.5509949,732155.688,4713384.451,732155.688,4713384.451,25.3,1.3,1.3,NA,NA,NA,168,NA,NA,290978
2013-09-20,PLT0032,pinure,559.9050293,161.6750031,732152.805,4713383.575,732155.2258,4713385.832,34.3,26.3,19,1.44,1.73,3.31,227,2.420780752,2.257414572,280991
2013-09-20,PLT0032,pinure,557.3430176,161.6380005,732150.243,4713383.538,732155.3111,4713386.233,41,26.4,18.9,1.19,1.75,5.74,242,5.068119183,2.69476677,280993
2013-09-20,PLT0032,pinure,559.0689697,165.5899963,732151.969,4713387.49,732155.1229,4713386.019,37.4,30.5,20.9,2.19,1.74,3.48,295,3.153951099,-1.470711551,280986
2013-09-20,PLT0032,pinure,558.0529785,168.5440063,732150.953,4713390.444,732156.6687,4713387.144,36.6,28.9,18.5,1.46,1.67,6.6,300,5.715767665,-3.3,280980
2013-09-20,PLT0032,pinure,561.625,166.1950073,732154.525,4713388.095,732155.2911,4713385.99,37,26.7,21.3,2.58,3.17,2.24,340,0.766125121,-2.104911471,290952
2013-09-20,PLT0032,pinure,NA,NA,731592.9,4713221.9,731591.0736,4713216.596,37.1,27,17.4,3.27,3.35,5.61,19,-1.826437347,-5.304359209,290960
2013-09-20,PLT0032,pinure,NA,NA,731592.9,4713221.9,731589.0845,4713216.837,33,31,23.5,3.91,3.18,6.34,37,-3.815507247,-5.063349134,290961
