;;;(oC);(%);(m/s);(oC);;(%);;(m/s);;(oC);;(%);;(mm);(MJ/m2.d);;;;
ANO;MES;DIA;TMED;URMED;VentoMED;TMAX;TMAX_hora;URMAX;URMAX_hora;VentoMAX;VentoMAX_hora;TMIN;TMIN_hora;URMIN;URMIN_hora;Chuva;Rad.Glob.;Estiagem;Semestre;ElNino;Estacao
1902;6;1;;;;;;;;;;;;;;0;;5;1;;Outono
1902;6;2;;;;;;;;;;;;;;0;;5;1;;Outono
1902;6;3;;;;;;;;;;;;;;0;;5;1;;Outono
1902;6;4;;;;;;;;;;;;;;0;;5;1;;Outono
1902;6;5;;;;;;;;;;;;;;0;;5;1;;Outono
1902;6;6;;;;;;;;;;;;;;2,6;;0;1;;Outono
1902;6;7;;;;;;;;;;;;;;2,2;;0;1;;Outono
1902;6;8;;;;;;;;;;;;;;17,2;;0;1;;Outono
1902;6;9;;;;;;;;;;;;;;1;;0;1;;Outono
1902;6;10;;;;;;;;;;;;;;2,8;;0;1;;Outono
1902;6;11;;;;;;;;;;;;;;0;;1;1;;Outono
1902;6;12;;;;;;;;;;;;;;0,1;;0;1;;Outono
1902;6;13;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;14;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;15;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;16;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;17;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;18;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;19;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;20;;;;;;;;;;;;;;0;;9;1;;Outono
1902;6;21;;;;;;;;;;;;;;0;;9;1;;Inverno
1902;6;22;;;;;;;;;;;;;;1;;0;1;;Inverno
1902;6;23;;;;;;;;;;;;;;2,8;;0;1;;Inverno
1902;6;24;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;25;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;26;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;27;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;28;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;29;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;6;30;;;;;;;;;;;;;;0;;14;1;;Inverno
1902;7;1;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;2;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;3;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;4;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;5;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;6;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;7;;;;;;;;;;;;;;0;;14;2;;Inverno
1902;7;8;;;;;;;;;;;;;;2,7;;0;2;;Inverno
1902;7;9;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;10;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;11;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;12;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;13;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;14;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;15;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;16;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;17;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;18;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;19;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;20;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;21;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;22;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;23;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;24;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;25;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;26;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;27;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;28;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;29;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;30;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;7;31;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;8;1;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;8;2;;;;;;;;;;;;;;0;;25;2;;Inverno
1902;8;3;;;;;;;;;;;;;;3,4;;0;2;;Inverno
1902;8;4;;;;;;;;;;;;;;0;;2;2;;Inverno
1902;8;5;;;;;;;;;;;;;;0;;2;2;;Inverno
1902;8;6;;;;;;;;;;;;;;5,2;;0;2;;Inverno
1902;8;7;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;8;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;9;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;10;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;11;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;12;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;13;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;14;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;15;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;16;;;;;;;;;;;;;;0;;10;2;;Inverno
1902;8;17;;;;;;;;;;;;;;18,4;;0;2;;Inverno
1902;8;18;;;;;;;;;;;;;;0;;3;2;;Inverno
1902;8;19;;;;;;;;;;;;;;0;;3;2;;Inverno
1902;8;20;;;;;;;;;;;;;;0;;3;2;;Inverno
1902;8;21;;;;;;;;;;;;;;3,2;;0;2;;Inverno
1902;8;22;;;;;;;;;;;;;;0;;1;2;;Inverno
1902;8;23;;;;;;;;;;;;;;34,6;;0;2;;Inverno
1902;8;24;;;;;;;;;;;;;;9,4;;0;2;;Inverno
1902;8;25;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;26;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;27;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;28;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;29;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;30;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;8;31;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;1;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;2;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;3;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;4;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;5;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;6;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;7;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;8;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;9;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;10;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;11;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;12;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;13;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;14;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;15;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;16;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;17;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;18;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;19;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;20;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;21;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;22;;;;;;;;;;;;;;0;;29;2;;Inverno
1902;9;23;;;;;;;;;;;;;;11,4;;0;2;;Primavera
1902;9;24;;;;;;;;;;;;;;3;;0;2;;Primavera
1902;9;25;;;;;;;;;;;;;;23,4;;0;2;;Primavera
1902;9;26;;;;;;;;;;;;;;0;;1;2;;Primavera
1902;9;27;;;;;;;;;;;;;;8;;0;2;;Primavera
1902;9;28;;;;;;;;;;;;;;3;;0;2;;Primavera
1902;9;29;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;9;30;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;1;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;2;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;3;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;4;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;5;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;6;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;7;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;8;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;9;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;10;;;;;;;;;;;;;;0;;12;2;;Primavera
1902;10;11;;;;;;;;;;;;;;10;;0;2;;Primavera
1902;10;12;;;;;;;;;;;;;;21,6;;0;2;;Primavera
1902;10;13;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;10;14;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;10;15;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;10;16;;;;;;;;;;;;;;17,8;;0;2;;Primavera
1902;10;17;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;18;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;19;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;20;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;21;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;22;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;23;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;24;;;;;;;;;;;;;;0;;11;2;;Primavera
1902;10;25;;;;;;;;;;;;;;0;;11;2;;Primavera
